"diagYm";"sidoName";"usedMedicineQty";"population"
"201006";"정읍시";6309.0;108003.0
"201006";"제주시";46461.0;393694.0
"201006";"제천시";1252.0;131977.0
"201006";"진주시";51576.0;330411.0
"201006";"천안시";71546.0;559514.0
"201006";"청주시";58873.0;787105.0
"201006";"춘천시";31596.0;270354.0
"201006";"충주시";15667.0;198332.0
"201006";"태백시";2180.0;50807.0
"201006";"통영시";8821.0;126382.0
"201006";"파주시";6793.0;319439.0
"201006";"평택시";12652.0;375434.0
"201006";"포천시";4189.0;133349.0
"201006";"포항시";49517.0;499943.0
"201006";"하남시";1616.0;135833.0
"201006";"화성시";3972.0;470027.0
"201007";"강릉시";51737.0;214003.0
"201007";"거제시";9457.0;222600.0
"201007";"경산시";8232.0;257604.0
"201007";"경주시";20129.0;249401.0
"201007";"계룡시";105.0;39788.0
"201007";"고양시";97547.0;885158.0
"201007";"공주시";4792.0;113865.0
"201007";"광명시";12826.0;322775.0
"201007";"광양시";2457.0;135324.0
"201007";"광주광역시";158095.0;1447291.0
"201007";"광주시";4278.0;221569.0
"201007";"구리시";15519.0;182075.0
"201007";"구미시";34649.0;393430.0
"201007";"군산시";8619.0;255605.0
"201007";"군포시";8062.0;270830.0
"201007";"김제시";2510.0;81735.0
"201007";"김천시";4537.0;125191.0
"201007";"김포시";8596.0;214050.0
"201007";"김해시";20697.0;478109.0
"201007";"나주시";5888.0;76966.0
"201007";"남양주시";13661.0;520270.0
"201007";"남원시";6618.0;77436.0
"201007";"논산시";6157.0;115614.0
"201007";"대구광역시";288906.0;2395518.0
"201007";"대전광역시";140961.0;1469599.0
"201007";"동두천시";1420.0;89226.0
"201007";"동해시";4218.0;88006.0
"201007";"목포시";64769.0;245720.0
"201007";"문경시";5804.0;67749.0
"201007";"밀양시";3814.0;97286.0
"201007";"보령시";5431.0;95781.0
"201007";"부산광역시";373410.0;3346609.0
"201007";"사천시";3749.0;104709.0
"201007";"삼척시";5385.0;65812.0
"201007";"상주시";9503.0;96360.0
"201007";"서귀포시";1885.0;127974.0
"201007";"서산시";6109.0;152892.0
"201007";"서울특별시";1262970.0;9512332.0
"201007";"성남시";105295.0;924284.0
"201007";"속초시";5193.0;79372.0
"201007";"수원시";102608.0;1040388.0
"201007";"순천시";25783.0;254214.0
"201007";"시흥시";17765.0;388402.0
"201007";"아산시";8101.0;269897.0
"201007";"안동시";24013.0;163300.0
"201007";"안산시";58024.0;690047.0
"201007";"안성시";6156.0;174065.0
"201007";"안양시";50461.0;588878.0
"201007";"양산시";34276.0;246583.0
"201007";"양주시";1573.0;180668.0
"201007";"여수시";16123.0;265010.0
"201007";"영주시";3044.0;106837.0
"201007";"영천시";8022.0;92739.0
"201007";"오산시";7401.0;179281.0
"201007";"용인시";15134.0;839237.0
"201007";"울산광역시";96259.0;1055783.0
"201007";"원주시";45564.0;305068.0
"201007";"의왕시";875.0;141614.0
"201007";"의정부시";43326.0;409974.0
"201007";"이천시";5094.0;190167.0
"201007";"익산시";31337.0;290208.0
"201007";"인천광역시";210572.0;2595806.0
"201007";"전주시";96809.0;637613.0
"201007";"정읍시";4725.0;108003.0
"201007";"제주시";47276.0;393694.0
"201007";"제천시";1615.0;131977.0
"201007";"진주시";59932.0;330411.0
"201007";"창원시";141871.0;1028138.0
"201007";"천안시";74631.0;559514.0
"201007";"청주시";54787.0;787105.0
"201007";"춘천시";30220.0;270354.0
"201007";"충주시";15294.0;198332.0
"201007";"태백시";2622.0;50807.0
"201007";"통영시";8269.0;126382.0
"201007";"파주시";6108.0;319439.0
"201007";"평택시";14819.0;375434.0
"201007";"포천시";5516.0;133349.0
"201007";"포항시";50760.0;499943.0
"201007";"하남시";1568.0;135833.0
"201007";"화성시";4987.0;470027.0
"201008";"강릉시";50933.0;214003.0
"201008";"거제시";11153.0;222600.0
"201008";"경산시";6716.0;257604.0
"201008";"경주시";19029.0;249401.0
"201008";"고양시";108400.0;885158.0
"201008";"공주시";4932.0;113865.0
"201008";"광명시";10853.0;322775.0
"201008";"광양시";2147.0;135324.0
"201008";"광주광역시";155637.0;1447291.0
"201008";"광주시";3239.0;221569.0
"201008";"구리시";16310.0;182075.0
"201008";"구미시";35640.0;393430.0
"201008";"군산시";9990.0;255605.0
"201008";"군포시";8930.0;270830.0
"201008";"김제시";2708.0;81735.0
"201008";"김천시";3647.0;125191.0
"201008";"김포시";7238.0;214050.0
"201008";"김해시";20751.0;478109.0
"201008";"나주시";6803.0;76966.0
"201008";"남양주시";13045.0;520270.0
"201008";"남원시";7462.0;77436.0
"201008";"논산시";5387.0;115614.0
"201008";"대구광역시";294339.0;2395518.0
"201008";"대전광역시";127566.0;1469599.0
"201008";"동두천시";1484.0;89226.0
"201008";"동해시";5525.0;88006.0
"201008";"목포시";68755.0;245720.0
"201008";"문경시";5665.0;67749.0
"201008";"밀양시";4216.0;97286.0
"201008";"보령시";5308.0;95781.0
"201008";"부산광역시";379296.0;3346609.0
"201008";"사천시";3399.0;104709.0
"201008";"삼척시";5933.0;65812.0
"201008";"상주시";8561.0;96360.0
"201008";"서귀포시";3595.0;127974.0
"201008";"서산시";7947.0;152892.0
"201008";"서울특별시";1222225.0;9512332.0
"201008";"성남시";115464.0;924284.0
"201008";"속초시";5526.0;79372.0
