"","diagYm","sidoName","usedMedicineQty","population"
"544",201007,"청주시",54787,787105
"545",201007,"춘천시",30220,270354
"546",201007,"충주시",15294,198332
"547",201007,"태백시",2622,50807
"548",201007,"통영시",8269,126382
"549",201007,"파주시",6108,319439
"550",201007,"평택시",14819,375434
"551",201007,"포천시",5516,133349
"552",201007,"포항시",50760,499943
"553",201007,"하남시",1568,135833
"554",201007,"화성시",4987,470027
"555",201008,"강릉시",50933,214003
"556",201008,"거제시",11153,222600
"557",201008,"경산시",6716,257604
"558",201008,"경주시",19029,249401
"559",201008,"고양시",108400,885158
"560",201008,"공주시",4932,113865
"561",201008,"광명시",10853,322775
"562",201008,"광양시",2147,135324
"563",201008,"광주광역시",155637,1447291
"564",201008,"광주시",3239,221569
"565",201008,"구리시",16310,182075
"566",201008,"구미시",35640,393430
"567",201008,"군산시",9990,255605
"568",201008,"군포시",8930,270830
"569",201008,"김제시",2708,81735
"570",201008,"김천시",3647,125191
"571",201008,"김포시",7238,214050
"572",201008,"김해시",20751,478109
"573",201008,"나주시",6803,76966
"574",201008,"남양주시",13045,520270
"575",201008,"남원시",7462,77436
"576",201008,"논산시",5387,115614
"577",201008,"대구광역시",294339,2395518
"578",201008,"대전광역시",127566,1469599
"579",201008,"동두천시",1484,89226
"580",201008,"동해시",5525,88006
"581",201008,"목포시",68755,245720
"582",201008,"문경시",5665,67749
"583",201008,"밀양시",4216,97286
"584",201008,"보령시",5308,95781
"585",201008,"부산광역시",379296,3346609
"586",201008,"사천시",3399,104709
"587",201008,"삼척시",5933,65812
"588",201008,"상주시",8561,96360
"589",201008,"서귀포시",3595,127974
"590",201008,"서산시",7947,152892
"591",201008,"서울특별시",1222225,9512332
"592",201008,"성남시",115464,924284
"593",201008,"속초시",5526,79372
"594",201008,"수원시",108835,1040388
"595",201008,"순천시",25314,254214
"596",201008,"시흥시",17338,388402
"597",201008,"아산시",8420,269897
"598",201008,"안동시",26336,163300
"599",201008,"안산시",56395,690047
"600",201008,"안성시",7382,174065
"601",201008,"안양시",53459,588878
"602",201008,"양산시",35922,246583
"603",201008,"양주시",1125,180668
